dataset_name,modality,fold,threshold_used,optimized_threshold,accuracy,precision,sensitivity,specificity,f1_score,roc_auc,tn,fp,fn,tp,train_healthy_count,train_pd_count,train_patient_count,val_healthy_count,val_pd_count,val_patient_count
BD_Dataset,handwriting,1,0.55,0.55,0.9444444444444444,1.0,0.9,0.9999999987499999,0.9473684210526315,0.9875,8,0,1,9,84,44,128,8,10,18
BD_Dataset,handwriting,2,0.37,0.37,0.8888888888888888,1.0,0.8181818181818182,0.9999999985714286,0.9,0.935064935064935,7,0,2,9,87,43,130,7,11,18
BD_Dataset,handwriting,3,0.27,0.27,0.8333333333333334,0.8333333333333334,0.9090909090909091,0.7142857132653061,0.8695652173913043,0.8831168831168831,5,2,1,10,87,43,130,7,11,18
BD_Dataset,handwriting,4,0.2,0.2,0.8888888888888888,0.9090909090909091,0.9090909090909091,0.8571428559183674,0.9090909090909091,0.8831168831168831,6,1,1,10,87,43,130,7,11,18
BD_Dataset,handwriting,5,0.85,0.85,0.8333333333333334,1.0,0.7272727272727273,0.9999999985714286,0.8421052631578947,0.8441558441558442,7,0,3,8,87,43,130,7,11,18
