dataset_name,modality,fold,threshold_used,accuracy,precision,sensitivity,specificity,f1_score,roc_auc,tn,fp,fn,tp,train_healthy_count,train_pd_count,train_patient_count,val_healthy_count,val_pd_count,val_patient_count
HandPD,handwriting,1,0.5,0.75,0.8867924528301887,0.7833333333333333,0.624999999609375,0.831858407079646,0.8416666666666667,10,6,13,47,56,236,292,16,60,76
HandPD,handwriting,2,0.5,0.9605263157894737,0.9552238805970149,1.0,0.749999999375,0.9770992366412213,1.0,9,3,0,64,60,232,292,12,64,76
HandPD,handwriting,3,0.5,0.9027777777777778,0.9454545454545454,0.9285714285714286,0.8124999994921874,0.9369369369369369,0.984375,13,3,4,52,56,240,296,16,56,72
HandPD,handwriting,4,0.5,0.8611111111111112,0.8709677419354839,0.9642857142857143,0.4999999996875,0.9152542372881356,0.9162946428571428,8,8,2,54,56,240,296,16,56,72
HandPD,handwriting,5,0.5,0.9722222222222222,1.0,0.9666666666666667,0.9999999991666666,0.9830508474576272,1.0,12,0,2,58,60,236,296,12,60,72
